gse_id,species,catalog_species,protocol,nrows,ncols,n_genes,nnz,density,is_usa,pz_bytes,raw_int32_bytes,ratio,bits_per_nz,codec,has_transpose,has_obs_var,num_chunks
GSE136831,Homo sapiens,Homo sapiens,10xv2,115818,413284,38606,502804124,0.010504,True,423092649,4024086132,9.511,6.732,vocsc+zstd,False,True,404
GSE136887,Homo sapiens,Homo sapiens,10xv2,115818,1311575,38606,134910510,0.000888,True,133694789,1084530384,8.112,7.928,vocsc+zstd,False,True,1281
GSE137026,Homo sapiens,Homo sapiens,10xv2,115818,70105,38606,495739139,0.061056,True,351059116,3966193536,11.298,5.665,vocsc+zstd,False,True,69
GSE137476,Mus musculus,Mus musculus,10xv3,171540,9692,57180,1072072,0.000645,True,2806431,8615348,3.07,20.942,vocsc+zstd,False,True,10
GSE137478,Mus musculus,Mus musculus,10xv2,171540,13672,57180,20181993,0.008605,True,17967917,161510636,8.989,7.122,vocsc+zstd,False,True,14
GSE137572,Mus musculus,Mus musculus,10xv2,171540,2007,57180,4969677,0.014435,True,5361376,39765448,7.417,8.631,vocsc+zstd,False,True,2
GSE137665,Mus musculus,Mus musculus,10x_suspect,171540,76091,57180,22819809,0.001748,True,26214551,182862840,6.976,9.19,vocsc+zstd,False,True,75
GSE137672,Homo sapiens,,,115818,7449,38606,37141583,0.043051,True,28477826,297162464,10.435,6.134,vocsc+zstd,False,True,8
GSE137758,Homo sapiens,Homo sapiens,10xv3,115818,15053,38606,56623229,0.032478,True,41927266,453046048,10.806,5.924,vocsc+zstd,False,True,15
GSE137766,Homo sapiens,Homo sapiens,10xv2,115818,16758,38606,127361056,0.06562,True,95853301,1018955484,10.63,6.021,vocsc+zstd,False,True,17
GSE137804,Homo sapiens,Homo sapiens,10x_suspect,115818,114555,38606,240490924,0.018126,True,188915196,1924385616,10.187,6.284,vocsc+zstd,False,True,112
