bioproject_id	phs_accession	organism	name	protocols_inferred	disease_categories	sra_run_count	description
1037044	phs002361	Homo sapiens	Distinct baseline immune characteristics associated with responses to conjugated and unconjugated pneumococcal polysaccharide vaccines in older adults [scRNA-seq]	scRNA	infectious	0	Pneumococcal infections cause serious illness and death among older adults. A capsular polysaccharide vaccine PPSV23 (Pneumovax®) and a conjugated polysaccharide vaccine PCV13 (Prevnar®) are used to p
1253788		Homo sapiens	HuBMAP: Penn Center for Multi-scale Molecular Mapping of the Female Reproductive System	spatial	neurological	0	The female reproductive system, the uterus, fallopian tubes and the ovaries, is a complex interrelated set of organs that is physiologically dynamic and not only important for fertility but critically
391406		Homo sapiens	Homo sapiens	scRNA	cancer|neurological|developmental	0	Homeostatic programs maintain equilibrium between immune protection, and selftolerance. Such mechanisms impact autoimmunity and tumor formation, respectively. How tissue homeostasis is maintained, and
1347104		Homo sapiens	Healthy Donor Controls for Immune Evaluation	10x_chromium|scRNA	infectious|metabolic|normal	0	Bioenergetic dysfunction is an archetypical finding in critical illness, particularly among patients with sepsis. A central feature of sepsis is the shift towards pathologic immunosuppression predispo
1244940		Homo sapiens	Neurogenetic studies of trichotillomania and excoriation disorder	scRNA	neurological	0	The overall objective of this study is to use a series of state-of-the-art neurogenetic approaches to advance our understanding of the genes and pathways that contribute to trichotillomania and excori
591014		Homo sapiens	A single-cell and single-nucleus RNA-Seq toolbox for fresh and frozen human tumors	snRNA|scRNA	cancer|neurological|pulmonary|developmental|normal	0	Single cell genomics is essential to chart tumor ecosystems. While single cell RNA-Seq (scRNA-Seq) profiles RNA from cells dissociated from fresh tumors, single nucleus RNA-Seq (snRNA-Seq) is needed t
677981	phs001961		Single Nucleus Multiomic Profiling Reveals Age-Dynamic Regulation of Host Genes Associated with SARS-CoV-2 Infection	snRNA	neurological|infectious	0	This SuperSeries is composed of the SubSeries listed below. The raw sequencing data is available through dbGaP (controlled access) due to patient privacy concerns. https://www.ncbi.nlm.nih.gov/project
1338254		Homo sapiens	Pilot Study to Investigate the Pathogenesis of Juvenile Idiopathic Arthritis	10x_chromium|spatial	neurological	0	The study investigates how immune and stromal cells are organized within inflamed synovium in juvenile idiopathic arthritis (JIA). Synovial tissue was obtained at clinically indicated procedures from 
1373312		Homo sapiens	RNAseq of human nasal epithelial cultures infected with rhinovirus	scRNA	neurological|pulmonary|infectious	0	Rhinovirus (RV) is the most frequent cause of common colds, but also a major cause of serious respiratory illness in high-risk groups (e.g., smokers and asthmatics). The molecular mechanisms leading t
1067703		Homo sapiens	Heterogeneous Cardiac- and Neural Crest-Derived Aortic Smooth Muscle Cells have Similar Transcriptional Changes after TGFβ Signaling Disruption [scRNA-seq-of-human-aortic-cells]	scRNA	neurological|cardiovascular	0	We report single-cell RNA-seq data of different segments from human thoracic aortas Overall design: Root/Asc/Arch aortas were collected from human donors in operation room, then digested in collagenas
